"EY","CFTP","ln_MV","DY","BTME","DTE","HSI"
11.2943,-0.1869,5.5206,0,0.5459,1.8461,0
-0.739,-0.477,7.2386,0,0.834,1.0885,0
0.1721,0.1861,5.9723,0,0.6099,0.6482,0
0.155,0.0224,4.6395,0,0.6989,0.0566,0
-4.3254,-2.505,4.7681,0,-2.258,11.1186,0
-0.29,-0.8887,5.9869,0,0.9215,0.3016,0
-7.7799,-5.6863,4.1073,0,0.7309,1.8035,0
-0.2855,-0.0827,4.346,0,0.4267,0.1287,0
0.0076,0.46,7.3443,1.906,1.4424,2.9158,0
-1.1535,0.0277,6.7065,0,1.2028,1.5813,0
0.0756,0.0404,9.1493,2.26,0.5891,0.1003,0
0.0344,0.0176,6.2948,0,0.9537,0.2647,0
-0.3128,-0.1606,5.4206,0,0.4985,0.4983,0
-0.0626,-0.0531,4.9773,0,-0.0952,0.1556,0
0.0299,0.0493,8.7203,1.14,0.3752,1.1997,0
-0.073,-0.0191,5.4574,0,1.8384,0.1451,0
0.0879,0.0913,9.264,2.92,1.0339,0.1767,0
-0.769,-0.3017,5.7996,0,2.2642,0.655,0
0.085,0.0381,8.0181,0.906,1.4451,0.1845,0
2.0188,-1.1357,6.4444,7.384,2.1043,0.1929,0
0.067,0.0881,8.6257,3.922,1.4328,0.8512,0
0.0766,0.2487,6.8242,0,1.4383,0.6423,0
0.12,0.1042,7.4488,2.372,0.5369,0.2569,0
-0.0803,0.1654,7.0751,0,0.341,0.1466,0
0.0545,0.0698,7.7947,1.852,1.5995,0.6738,0
-0.2582,-0.1928,6.5374,0,0.8039,0.5952,0
-1.592,-0.9853,5.8693,0,0.4246,0.1731,0
0.0843,2.2227,7.4363,3.604,1.2536,-1.5557,0
0.0433,2.072,7.9406,0,1.03,2.0408,0
-0.1535,-0.4529,5.9591,0,2.3289,0.1651,0
-6.8103,-2.5,5.2171,0,12.5,0.6997,0
0.0743,0.1281,8.8459,3.648,1.155,0.2656,0
0.0994,0.1251,6.5813,5.65,1.6397,0.2552,0
-0.2978,-0.297,7.474,0,8.7879,0.2676,0
-0.4902,-0.344,3.9316,0,2.9254,0.4615,0
-0.2615,-1.4884,4.4347,0,2.1462,0.9807,0
0.271,2.6933,6.0183,2.852,1.8449,-1.3713,0
0.0415,0.1267,6.3336,7.03,3.125,0.1264,0
0.1371,0.1217,6.3321,6.672,1.5782,0.1757,0
-0.5183,0.0472,5.6026,3.784,6.5952,0.1889,0
-0.5519,-0.0505,5.4426,2.876,12.5,0.3839,0
0.2193,0.2204,5.3232,6.184,3.0303,1.9299,0
0.2941,0.3509,5.5785,10.24,1.6667,0.3042,0
-1.1373,-0.4474,4.1447,0,1.7748,1.1069,0
-15.922,-0.0137,5.6417,0,0.2646,-1.9916,0
0.1104,0.1895,8.7289,3.92,1.1825,8.4029,0
0.1289,-0.0024,7.9366,0,0.0856,0.5376,0
0.0202,-0.1675,5.2552,4,2.7778,0.1008,0
0.1442,0.5802,5.9293,1.312,2.3767,0.5704,0
-1.2766,0.2861,4.4455,0,1.1736,-1.6953,0
0.0701,0.0501,8.368,0.902,0.5434,0.0179,0
0.2147,0.2518,7.992,6.672,0.9829,0.2415,0
0.0494,0.0798,5.7242,0,3.3793,0.2224,0
