"EY","CFTP","ln_MV","DY","BTME","DTE","HSI"
0.1931,0.1986,7.0802,7.916,1.558,-1.395,0
0.4693,-0.2931,7.4107,0,0.497,1.48,0
0.0434,0.0265,7.0018,0.952,0.2882,0.6341,0
-0.1847,-0.5322,4.5229,0,0.873,0.6623,0
0.1754,0.2532,5.3041,12.5,2,0.3099,0
0.1859,0.2769,6.1625,10.74,1.055,0.3284,0
0.0103,-0.0347,7.7592,4.42,2.5385,0.2261,0
-0.3476,-0.6897,6.5218,0,6.6667,0.8393,0
-3.8006,-4.5455,4.6082,0,0.5556,0.5345,0
0.2221,-0.2449,5.0997,5.502,1.5852,0.3884,0
-1.9105,-1.5426,5.5448,0,0.761,0.0671,0
0.0124,-0.0779,7.3358,0,0.1606,0.2785,0
0.1197,0.2371,4.5555,8.376,2.371,0.1531,0
0.0406,-1.8316,5.6811,0,0.5807,0.1376,0
0.0809,0.2838,5.5818,0,11.1111,0.7272,0
0.2101,0.1282,7.3673,4.46,2.7035,0.3469,0
-0.1837,-0.11,5.9705,0,0.1694,1.4948,0
-1.3939,-0.8563,6.2201,0,1.2663,0.7542,0
-0.9,-0.6849,5.6669,0,0.1869,1.4287,0
0.0733,-0.5839,4.6442,0,2.621,1.1072,0
0.0729,-0.0243,6.5645,9.338,1.1193,0.1503,0
-11.836,1.9937,6.7053,0,0.3257,-1.3808,0
0.0962,0.1087,6.158,3.43,1.6667,0.313,0
0.125,0.3181,4.9507,11.808,0.9962,1.3436,0
0.1161,0.17,4.1234,0,3.25,0.8322,0
0.1219,0.1993,5.2062,1.176,2.8254,2.1199,0
0.1109,0.1992,6.7362,7.096,2.5648,0.2833,0
0.0472,0.047,9.0716,4.58,0.2422,0.1839,0
0.0635,0.0461,6.8043,9.074,2.8918,1.0364,0
-4.5359,-3.6041,3.3265,0,1.8673,-1.5997,0
0.1454,1.8645,7.8037,4.294,0.8587,-1.3278,0
0.0763,1.1017,5.7874,3.47,1.3124,0.4004,0
-0.0572,-0.0484,5.2422,0,0.1662,0.0734,0
-1.0802,-0.2377,6.388,0,0.0352,11.8291,0
0.0176,-0.026,7.4595,0,1.3529,0.0079,0
-0.0378,-0.0964,5.8861,0,0.1821,0.3745,0
0.0082,-0.1362,5.8768,0,2.1277,0.3107,0
0.1062,0.4786,7.4595,7.596,2.3742,-1.5973,0
0.0728,0.0937,6.8294,1.336,0.6428,0.6671,0
0.0518,0.0591,9.4637,2.534,1.6134,-1.8251,0
0.0536,0.0298,6.7131,0,0.2339,0.8433,0
0.0738,0.0544,7.9586,3.48,0.4961,0.0846,0
0.3154,0.252,6.0255,5.544,4.9524,0.3399,0
0.137,0.9004,6.6233,6.626,0.9012,-2.9231,0
0.0538,0.0578,6.1801,0,1.3315,1.3271,0
0.1007,0.956,7.2197,5.154,1.2682,-3.1971,0
-0.2852,0.0191,6.9989,0,0.5382,0.1834,0
0.0287,0.0978,8.1977,0,0.4935,1.0096,0
0.1299,0.1655,7.9038,3.368,1.019,0.9793,0
-0.2723,-0.1406,5.9847,0,0.5955,1.4849,0
0.0695,0.2226,5.2548,0,2.0582,0.2465,0
0.018,-0.2988,5.4945,0,2.6046,0.1575,0
-0.4572,-0.7874,6.5271,0,1.0243,1.2739,0
-0.0893,-0.1069,5.3324,0,2.4197,0.2786,0
-0.6101,-0.2713,4.7578,0,0.9874,1.3009,0
0.0495,0.021,4.5024,0,10,0.0627,0
0.186,0.283,7.3362,5.062,3.7057,0.7237,0
0.0692,1.0411,6.7176,3.046,1.7847,-1.4967,0
0.0049,0.0851,6.6941,1.626,2.4192,0.3667,0
-4.9548,-7.7289,4.1575,0,1.7509,0.6028,0
-1.56,-0.1681,5.1492,0,7.6923,0.705,0
0.2488,-0.1247,5.4739,0,1.2592,-1.3051,0
0.4133,0.3063,4.9035,15.7,1.359,4.5924,0
0.0585,0.06,6.7654,1.836,3.2473,0.6158,0
-0.0919,-0.3938,5.1645,0,0.4478,0.3467,0
0.0773,-9e-04,6.5811,0,3.7342,0.2691,0
0.0966,0.1858,6.7637,5.268,1.4754,0.4767,0
0.2195,0.2586,6.7763,4.14,1.3239,0.3443,0
0.2253,2.8555,9.814,6.918,1.4726,1.2687,0
0.1762,0.1934,4.7745,4.524,3.4975,1.7101,0
-7.6879,-1.9517,4.5675,0,-0.0838,0.1028,0
-0.0624,0.128,6.9057,10.404,2.1571,1.0124,0
-0.0487,0.0925,8.6453,0,0.9095,0.2184,0
-0.1189,-0.1343,6.6574,0,0.7471,0.1929,0
-3.6349,-0.2174,5.3211,0,3.6571,0.5372,0
-1.6206,-1.2122,5.2696,0,2.7359,2.2583,0
0.2093,0.1019,6.3926,8.364,0.6043,0.9752,0
-0.0548,-0.1429,6.641,3.21,1,0.7725,0
0.013,-0.5636,4.9632,0,4.5963,0.6302,0
-0.5094,-0.3682,3.4808,0,4.5996,0.1468,0
0.0577,0.0776,5.5229,2.11,1.5625,0.5546,0
-0.042,0.0786,9.2856,0,1.1383,1.4636,0
-2.25,-0.8621,4.3127,0,1.2821,0.8827,0
-0.376,-0.0426,4.9647,0,3.3563,0.4966,0
0.3313,0.9418,4.3445,5.216,2.428,2.1562,0
0.0215,0.0987,5.6787,0,1.0332,0.8751,0
0.4108,0.3681,4.7707,0,6.3431,1.5311,0
-0.2319,-0.1104,6.9761,0,0.8103,0.4439,0
0.2419,0.1885,5.4494,5.368,1.0764,0.8666,0
0.2605,0.3457,5.611,7.798,1.1241,0.297,0
0.027,0.1376,7.3545,1.926,2.8793,0.3658,0
0.0349,0.0489,6.758,0,0.5741,0.2623,0
3.3333,0.3318,4.5135,0,-0.1866,-5.4023,0
-0.5361,0.0583,6.8187,0,0.8595,1.3759,0
0.0523,0.0641,6.4351,0,1.2924,0.414,0
-0.075,-0.0419,4.8712,0,1.087,0.4182,0
0.1522,0.0623,7.2491,2.206,0.5447,0.7629,0
-2.6458,-1.1259,3.6611,0,-10.3333,-2.2058,0
0.0842,0.1052,9.7627,3.946,1.6453,0.3136,0
0.1214,0.2426,5.7488,8.292,1.3897,0.3859,0
-0.0724,-0.0731,6.2973,0,0.2208,2.9195,0
-0.1264,0.1125,6.5282,1.804,6.6667,0.1425,0
0.2132,-0.0476,6.2286,2.874,1.6346,2.8305,0
0.1695,0.2331,5.7515,1.29,1.9608,0.4155,0
0.0984,0.1153,6.2088,9.836,3.9692,0.2547,0
0.154,0.2457,5.2257,7.882,3.9407,0.7272,0
-0.1337,-0.0596,6.2787,0,0.1224,0.8753,0
0.2244,0.1521,7.7927,3.742,1.3066,0.2617,0
0.1087,0.1431,6.7058,5.828,0.9177,0.5719,0
0.0966,0.1187,8.1399,2.564,0.857,1.0945,0
-0.6612,0.1372,6.9681,0,0.0347,-1.3621,0
0.1213,-0.3103,5.5595,0.696,0.9452,0.3783,0
0.1107,0.2374,7.5586,3.158,0.5778,2.241,0
-1.5385,-3.4483,4.0053,0,-12.5,1.9537,0
-0.0872,-0.2575,5.927,0,0.1114,0.9708,0
0.0093,0.0058,6.6729,0,1.0309,0.101,0
0.0478,0.0693,5.8517,2.21,2.0408,0.2718,0
0.105,0.1415,8.4679,4.542,0.4085,0.5517,0
-2.0285,-1.1523,6.3589,0,0.0963,2.5888,0
-0.7843,-0.0014,5.3536,0,-0.3293,-1.3629,0
0.0925,0.0735,7.2909,0,2.7786,0.3854,0
0.0913,0.1128,6.6377,8.708,2.6885,0.052,0
0.1564,0.1004,6.2601,0,1.1099,0.0092,0
0.1257,0.2207,7.2313,3.188,2.4181,0.6157,0
0.0548,0.1141,8.9091,3.182,0.5709,-1.3806,0
-0.1017,-0.0267,5.6879,0,0.4737,0.3233,0
0.018,0.2637,6.0682,0,1.3851,0.3533,0
0.0849,0.1517,6.8858,0,3.3793,0.2591,0
0.1333,0.0837,6.1025,5.41,0.3876,1.0821,0
0.0096,0.3364,5.2954,3.184,1.9164,1.374,0
0.329,0.6084,4.977,0,0.2898,-5.2651,0
0.0495,-0.4701,7.1818,0,3.5256,0.228,0
0.0963,0.1262,8.0868,2.044,0.3814,-1.2173,0
0.0766,0.6791,7.5554,0,0.4205,0.5293,0
0.1961,0.2653,6.246,8.33,1.2821,0.7821,0
0.088,0.148,6.8672,4.634,0.8572,0.5595,0
-2.2222,-0.885,3.563,0,-3.125,2.9913,0
0.0404,0.1151,6.5689,4.578,1.1883,1.5005,0
0.0049,0.0063,9.0944,0.46,1.1338,0.6261,0
0.1985,0.1927,6.3488,12.322,0.9348,0.6459,0
-0.0609,0.8651,4.8841,2.214,4.7619,0.4898,0
-0.3518,-0.2906,5.457,0,0.645,0.3957,0
0.1441,0.1568,5.7685,3.436,0.6641,2.7923,0
-0.1852,0.103,4.916,0,0.7407,0.0603,0
0.1484,-1.5061,3.709,0,-1.2756,9.9309,0
-0.2159,-0.0034,5.9551,0,0.3618,0.2989,0
0.0376,0.0198,4.2985,1.36,1.5294,0.0038,0
-3.0797,-0.7475,5.1004,0,1.05,0.3059,0
0.0666,0.0362,6.4077,0.474,0.4092,0.6498,0
0.0281,0.0615,6.0118,7.888,0.3141,4.3438,0
-0.1887,0.2092,5.9017,0,3.4648,0.9909,0
-0.4747,-0.4221,6.0069,0,-0.0754,1.7013,0
0.0432,-0.0195,6.0058,2.82,0.2734,0.9604,0
0.0795,0.0818,7.4357,4.374,0.7648,0.2949,0
0.1695,0.3268,4.6476,5.87,1.5625,0.3264,0
0.2099,0.4779,4.9724,0,2.803,0.7238,0
-2.1628,-0.5618,3.3485,0,-1.0101,-4.019,0
-0.31,-0.3245,7.1018,0,1.0063,0.5724,0
-1.7219,-1.5534,3.5192,0,4.0322,0.517,0
0.0903,0.152,7.1237,6.19,0.9561,0.4864,0
-1.3245,-0.9241,7.1582,0,0.4799,-1.2925,0
0.0049,0.1185,4.3012,4.59,6.6667,0.0153,0
0.3425,0.4224,5.7624,0,5.8824,1.7956,0
-0.6008,0.4998,5.1179,0,0.8352,0.3891,0
0.1333,0.0999,5.2983,2.5,0.3279,4.1111,0
0.0282,0.08,6.3434,0,1.3373,1.0865,0
-0.0607,-0.0236,4.7185,3.57,1.7857,0.0704,0
-1.2794,-0.3719,4.7727,0,10.6667,0.3543,0
0.1235,0.1706,8.8993,4.886,0.8252,8.5823,0
-2.3374,0.4679,3.9762,0,2.2916,0.3981,0
0.1421,0.1482,8.8282,5.206,1.0871,8.2502,0
0.0998,0.1904,6.7544,4.474,5.2105,0.3475,0
-0.0706,0.3779,5.5991,0,5.4386,0.4674,0
0.0517,0.0747,6.6238,2.76,1.0275,0.5119,0
0.0752,0.1404,6.534,1.89,3.0303,0.6281,0
-0.0514,0.3406,5.1459,0,5.6209,0.8199,0
0.3379,0.31,5.2993,10.382,2.4274,1.9186,0
-0.0893,-0.9709,4.4699,0,3.3333,1.2894,0
0.5497,0.1173,7.2345,5.052,1.5487,0.5277,0
-1.2021,-0.1212,5.6104,0,1.3727,0.3076,0
0.2242,0.8668,4.5718,6.996,7.3626,0.3788,0
0.1033,0.0949,6.1959,1.958,0.3804,0.9182,0
0.2718,0.3002,5.1206,10.052,2.1014,1.3412,0
-0.3394,-0.1677,6.1944,0,0.8838,0.5365,0
0.1166,1.7513,7.8554,3.056,1.1764,-9.6231,0
0.0923,0.1641,4.9302,4.464,4.4697,0.8871,0
0.0248,0.0865,5.5641,0,1.3889,0.2586,0
0.127,0.0073,5.1792,0,0.5964,4.4427,0
0.1629,0.3271,6.5433,9.358,1.0418,0.3868,0
0.1458,0.3407,5.5465,9.696,2.2944,0.3095,0
0.1409,1.5392,7.2198,8.692,2.1192,0.2445,0
-2.3682,-1.2324,4.2294,0,1.4544,0.3073,0
-0.4677,0.1247,5.5899,5.956,6.7619,0.5424,0
-0.8849,-0.2175,5.9868,17.018,1.65,0.0922,0
0.1578,0.1121,9.2588,6.37,0.3221,0.5914,0
-0.1001,0.1244,6.516,0,2.7821,0.1901,0
0.0239,0.0159,5.8542,0,0.559,0.0069,0
0.0772,0.0327,7.9266,4.878,0.3303,0.3948,0
0.1447,0.2947,6.9895,3.774,1.6247,0.5565,0
0.0394,0.0324,6.9378,1.27,0.8139,0.6896,0
0.1153,0.1958,5.7867,0,2.9244,0.242,0
